Indicador;Tipo;O que se mede;Periodicidade;Onde medir;Como medir;Tendência
ÍNDICE  DO PODER JUDICIÁRIO  DE ACESSO  À JUSTIÇA;Nacional;"Trata -se de indicador  que busca  medir  o acesso  à justiça,  pensado  a partir  de três tipos  de capitais  (cidadania, 
população  e judiciário),  desmembrados  em dimensões  (direitos  e deveres,  vulnerabilidade  e acesso  a serviços 
públicos; perfil e dinâmica demográfica; e padrão de resolução de conflitos, distribuição e acesso a serviços 
públicos e inovação tecnológica).";Anual;Relatório  Índice  de Acesso  à Justiça  - CNJ;"Perspectiva Cidadania:
Variáveis:
Percentual de Analfabetismo das pessoas de 15 anos ou mais (ANALFABETISMO)
Percentual Nascidos Vivos de mães entre 10 e 19 anos(TAXA DE NASCIDOS VIVOS) Défice
de Altura para a Idade (DAI)
Défice de Peso para a Idade (DPI)
Percentual de moradores em grau por 100 mil habitantes domicílios com água canalizada (TAXA ÁGUA CANALIZADA)
CP1 = ?0,3344 * ANALFABETISMO ? 0,515 * TAXA DE NASCIDOS VIVOS ? 0,4412 * DAI ? 0,4635 * DPI + 0,4621 *
TAXA ÁGUA CANALIZADA
CP2 = ?0,6956 * ANALFABETISMO + 0,0344 * TAXA DE NASCIDOS VIVOS + 0,4783 * DAI + 0,3819 * DPI + 0,3747
* TAXA ÁGUA CANALIZADA
Perspectiva População:
Variáveis:
Percentual de mulheres na população (TAXA MULHER) Coeficiente
de Gini (COEFICIENTE GINI)
Percentual de pessoas com idade superior a 50 anos (IDADE 50 E MAIS) Taxa
de Escolarização (TAXA ESCOLARIZAÇÃO)
Percentual de pessoas na população que se autodeclaram não brancas (COR NÃO BRANCA)
CP1 = 0,1677 * TAXA MULHER ? 0,4279 * COEFICIENTE GINI + 0,5154 * IDADE 50 E MAIS ? 0,5237 * TAXA ESCOLARIZAÇÃO ? 0,4988 * COR NÃO BRANCA
CP2 = 0,8076 * TAXA MULHER + 0,4909 * COEFICIENTE GINI + 0,2032 * IDADE 50 E MAIS ? 0,1439 * TAXA ESCOLARIZAÇÃO + 0,2114 * COR NÃO BRANCA
Perspectiva Judiciário:
Variáveis:
Tempo médio de decisão - TEMPO DECISÃO (Média das Variáveis CNJ TpSentC1º, TpSentEx1º, TpSentCJE, TpSentExJE, TpDecTR e TpDec2º)
Taxa de Magistrados na população (TAXA MAGISTRADOS NA POPULAÇÃO)
Taxa de Varas na população (TAXA VARAS NA POPULAÇÃO)
Quantidade de Casos Novos do 1º grau por 100 mil habitantes (CASOS NOVOS 1G POR 100 MIL HAB)
CP1 = 0,354 * TEMPO DECISÃO ? 0,576 * TAXA MAGISTRADOS NA POPULAÇÃO ? 0,532 * TAXA VARAS NA POPULAÇÃO ? 0,507 * CASOS NOVOS 1G POR 100 MIL HAB
CP2 = ?0,930 * TEMPO DECISÃO ? 0,267 * TAXA MAGISTRADOS NA POPULAÇÃO ? 0,115 * TAXA VARAS NA POPULAÇÃO ? 0,223 * CASOS NOVOS 1G POR 100 MIL HAB
Cálculo do SCORE:
Calcular um escore para a CP1 e para a CP2 de cada Capital. Em seguida, somam-se ambos os escores de cada
Capital e, por fim, padroniza-os com a Fórmula: (ESCORE DO TRIBUNAL - VALOR MÍNIMO DOS ESCORES DE CADA
CAPITAL) / (VALOR MÁXIMO - VALOR MÍNIMO DOS ESCORES DE CADA CAPITAL)
Essa padronização deve ser feita, isoladamente, para a Cidadania, a População e o Judiciário. Sendo que para
obter o IAJ, extrai-se a média aritmética dos três índices anteriores. A padronização garante que o índice varie no
intervalo de 0 a 1, permitindo uma comparação entre as Unidades Judiciárias (Tribunais)";Quanto  maior,  melhor
Índice  de Satisfação  com  o Atendimento;Institucional;Indica  a percepção  dos jurisdicionados  quanto  o atendimento  pelo  poder  judiciário.;Anual;Pesquisa  de campo,  realizada,  preferencialmente,  pela  Secretaria  de Gestão  Estratégica  do TJPI.;"Análise dos resultados da pesquisa e das respostas dos participantes
";Quanto  maior , melhor.
Índice  de Satisfação  Interna;Institucional;Indica  a percepção  dos servidores  quanto  à satisfação  e o clima  organizacional  dentro  do TJ-PI.;Anual;Pesquisa  de campo,  realizada,  preferencialmente,  pela  Secretaria  de Gestão  Estratégica  do TJPI.;Análise  dos resultados  da pesquisa  e das respostas  dos participantes;Quanto  maior,  melhor.
Índice  de Transparência;Nacional;"É o percentual  obtido  no Ranking  da Transparência  do Poder  Judiciário,  instituído  pela  Resolução  CNJ n. 215,  de 16 
de dezembro de 2015.";Anual;CNJ/DGE,  em https://w ww.cnj.jus.br/transparencia -cnj/ranking -da-transparencia/.;"É a média ponderada dos itens avaliados, conforme requisitos e pesos em vigor detalhados na normativa mais
recente.";Quanto  maior,  melhor
TCExtFisc  - Taxa  de Congestionamento  das Execuções  Fiscais;Nacional;"O percentual  de casos  de execução  fiscal  que permaneceram  pendentes  
de solução  ao final  do período -base,  em relação  ao que tramitou  (soma  dos pendentes  e dos baixados)  durante 
o período -base.";Mensal;"Base  de Dados  do Poder  Judiciário  do Piauí,  levando -se em consideração  as fórmulas  e os glossários  da Reso - 
lução CNJ n. 76/2009, bem como a para - 
metrização  do Justiça  em Números.";"TCExtFisc = CPExtFisc1 / (CPExtFisc1 + TBaixExtFisc1), onde: 
CPExtFisc1   Casos  pendentes  de Execução  Fiscal  no 1o grau;  e 
TBaixExtFisc1   Total  de Processos  Baixados  de Execução  Fiscal  no 1o Grau.";Quanto  menor,  melhor
TCL - Taxa  de Congestionamento  Líquida , Exceto Execusões Fiscais.;Nacional;"Indica  o percentual  de processos  que,  no período -base,  permaneceu  em tramitação  sem solução  definitiva.  São 
desconsiderados os processos suspensos, sobrestados ou em arquivo provisório e as execuções fiscais.";Mensal;"Base  de Dados  do Poder  Judiciário  do Piauí,  levando -se em consideração  as fórmulas  e os glossários  da Resolução 
CNJ n. 76/2009, bem como a para - 
metrização  do Justiça  em Números.";"TCL = (Cp - CpExtFisc1  - SuSExNfisc1)  / (TBaix  - TBaixExtFisc1  + Cp - CpExtFisc1   SuSExNfisc1),  onde: 
Cp  Total de casos pendentes;  
CpExtFisc1   Casos  Pendentes  de Execução  Fiscal  no 1o grau;  
SuSExNfisc1   Total  de processos  suspensos,  sobrestados  ou em arquivo  provisório,  exceto  os processos  de Exe- 
cução  Fiscal;  
Baix  Total  de processos  baixados;  e 
TBaixExtFisc1   Total  de Processos  Baixados  de Execução  Fiscal  no 1o Grau.";Quanto  menor,  melhor.
IAD - Índice  de Atendimento  à Demanda;Nacional;"Indica  a capacidade  do Tribunal  de Justiça  do Piauí  em dar vazão  em, pelo  menos,  o mesmo  número  de processos 
ingressados, situação em que o indicador atinge o valor igual ou superior a 100%.";Mensal;"Base  de Dados  do Poder  Judiciário  do Piauí,  levando -se em consideração  as fórmulas  e os glossários  da Resolução 
CNJ n. 76/2009, bem como a para - 
metrização  do Justiça  em Números.";"  IAD = TBaix / Cn, onde: 
TBaix   Total  de Baixados;  e 
Cn  Casos Novos";Quanto  maior,  melhor.
Tempo de Tramitação dos Processos Pendentes Líquidos;Nacional;"Tempo de tramitação dos processos pendentes líquidos, desconsiderando os períodos em 
que os processos permaneceram suspensos, sobrestados ou em arquivo provisório.";Semestral;Banco Nacional de Dados do Poder Judiciário (DATAJUD);"Para cada processo do TJPI, pendente ao final do ano -base, calcular o número de dias corridos entre a 
data do protocolo e o último dia do ano -base. Após, calcular a média dos tempos considerados.";Quanto  menor,  melhor.
 IPM - Índice de Produtividade dos Magistrados realizado; Institucional;Indica a média de processos baixados por magistrado(a) em atuação;"Mensal
";"Base de Dados do Poder Judiciário do Piauí, levando-se em consideração as fórmulas e os glossários da Resolução
CNJ n. 76/2009, bem como a parametrização do Justiça em Números.";"IPM = TBaix / TMag, onde:
TBaix  Total de Baixados; e
TMag  Total de Magistrados.";Quanto maior, melhor
 IPS-Jud - Índice de Produtividade dos Servidores da área Judiciária; Institucional;"Indica a média de processos baixados por servidor(a) da área judiciária.
";"Mensal
";"Base de Dados do Poder Judiciário do Piauí, levando-se em consideração as fórmulas e os glossários da Resolução
CNJ n. 76/2009, bem como a parametrização do Justiça em Números.";"IPS-Jud = TBaix / (TSE-Jud + TSR-Jud + TSC-Jud), onde:
TBaix  Total de Baixados;
TSE-Jud  Total de Servidores Efetivoslotados na área judiciária;
TSR-Jud  Total de Servidores Requisitados lotados na área judiciária; e
TSC-Jud  Total de Servidores Comissionados lotados na área judiciária.";Quanto maior, melhor
 Índice de Produtividade Comparada da Justiça - IPC-Jus; Institucional;"O indicador busca resumir a produtividade e a eficiência relativa dos tribunais em um escore único, ao comparar
a eficiência otimizada com a aferida em cada unidade judiciária, a partir da técnica de Análise Envoltória de Dados
(Data Envelopment Analysis - DEA). Esse método permite comparações entre tribunais do mesmo ramo de justiça,
independentemente do porte, pois considera o que foi produzido a partir dos recursos ou insumos disponíveis para
cada tribunal";"Anual
";Relatório Justiça em Números - CNJ;"- 5 variáveis: 1 output (Processos Baixados), 4 inputs (despesa total, número de magistrados, número de servidores
efetivos)
Orientação eficiência: Orientado ao produto (Output Oriented)
Forma da fronteira de eficiência: Retornos Constantes de Escala (CRS)
Insumos: Despesa Total do Tribunal (DT), Força de Trabalho (Magistrados+Servidores, FTT)
Produto: Processos Baixados (PB)
Executa o DEA
resultado=dea(insumos, produto,RTS=CRS,ORIENTATION=out, DUAL=T)";Quanto maior, melhor
"Índice de Desempenho no Prêmio CNJ de Qualidade: Eixo Produtividade
"; Institucional;"Indica aspectos da gestão judiciária relacionados ao cumprimento das Metas Nacionais, à celeridade processual, à redução de acervo e ao incentivo à conciliação.
";Mensal;Resultado do Prêmio CNJ de Qualidade;Resultado do Prêmio CNJ de Qualidade;Quanto maior, melhor
Índice  de Prescrição;Nacional;"Indica  a razão  entre  o total  de julgamentos  por prescrição  em relação  ao total  de julgamentos  de processos  rela- 
tivos  à Improbidade  Administrativa,  à Corrupção  e aos Ilícitos  Eleitorais,  conforme  tabelas  de classes  e assuntos 
constante do anexo I do CNJ.";Semestral;"Base de Dados do Poder Judiciário do Piauí, para obtenção do número de sentenças com movimento de pres - 
crição  em relação  ao total  de sentenças,  conforme  classes  e assuntos  das Tabelas  Processuais  Unificadas  (TPUs).";"Índice de Prescrição = Julgamentos com prescrição / SentC, onde:
Julgamentos com prescrição = Processos computados em SentC que receberam os movimentos 471 (para os
casos de improbidade) e 11879, 11878 e 1045 (corrupção e ilícitos eleitorais); e
SentC = sentenças de conhecimento.
";Quanto  menor,  melhor
"TpCpICE  - Tempo  Médio  dos Processos  Pendentes  de Improbidade, Corrupção e Crimes Eleitorais
";Nacional;"Indica  o tempo  médio  dos processos  pendentes  de improbidade,  corrupção  e crimes  eleito - 
rais.";Semestral;"Base  de Dados  do Poder  Judiciário  do Piauí,  levando -se em consideração  as fórmulas  e os 
glossários da Resolução CNJ n. 76/2009, bem como a para - 
metrização  do Justiça  em Números.";"Calculado pela fórmula: tpcpice = ? total de casos pendentes nos processos de corrupção,
improbidade administrativa e de ilícitos eleitorais pendentes ( data base de cálculo - data
autuação/recebimento) / total de casos pendentes nos processos de corrupção, improbidade
administrativa e de ilícitos eleitorais pendentes tpsentirdr = (??=1^sentirdr (dtacordaoirdr? 
dtadmisirdr?))/sentirdr.";Quanto  menor,  melhor
Índice de Processos Administrativos Disciplinares Baixados;Nacional;"Indica o percentual de Processos Administrativos Disciplinares baixados em relação ao acervo 
de Processos Administrativos Disciplinares no tribunal, no período.";Semestral;Corregedoria Nacional de Justiça.;"Calculado pela fórmula: ÍNDICE DE PADs BAIXADOS = ( PADs BAIXADOS) / ( PADs Pendentes + PADs
NOVOS";Quanto  menor,  melhor
Índice  de Conciliação;Nacional;"Indica  o percentual  entre  o total  de sentenças  homologatórias  de acordo  em relação  ao total  de sentenças,  con- 
forme  fórmulas  e glossários  da Resolução  CNJ n. 76. Serão  consideradas  as sentenças  de todas  as fases  (conheci - 
mento e execução), bem como de todas as instâncias.";Mensal;"Base  de Dados  do Poder  Judiciário  do Piauí,  levando -se em consideração  as fórmulas  e os glossários  da Resolução 
CNJ n. 76/2009, bem como a para - 
metrização  do Justiça  em Números.";"IC = SentH / Sent, onde:
SentH  Total de sentenças homologatórias de acordo; e
Sent  Total de sentenças";Quanto  maior,  melhor.
Índice de Audiência de Conciliação e Mediação Realizada nas fases pre -processual e conhecimento.;Institucional;"Indica  o total  de audiências  Audiencia de Conciliação e Mediação Realizada nas fases pre -processual e 
conhecimento.";Anual;Resultado do Prêmio CNJ de Qualidade.;"total de audiências de conciliação e mediação realizadas na fase pré-processual e na fase de conhecimento, em
relação à soma de procedimentos pré-processuais recebidos e de casos novos de conhecimento não criminais""";Quanto  maior,  melhor.
