Indicador;Tipo;Ano;Tipo valor;Valor
ÍNDICE  DO PODER JUDICIÁRIO  DE ACESSO  À JUSTIÇA;Nacional;2015;;sem informação
ÍNDICE  DO PODER JUDICIÁRIO  DE ACESSO  À JUSTIÇA;Nacional;2016;;sem informação
ÍNDICE  DO PODER JUDICIÁRIO  DE ACESSO  À JUSTIÇA;Nacional;2017;;sem informação
ÍNDICE  DO PODER JUDICIÁRIO  DE ACESSO  À JUSTIÇA;Nacional;2018;;sem informação
ÍNDICE  DO PODER JUDICIÁRIO  DE ACESSO  À JUSTIÇA;Nacional;2019;;sem informação
ÍNDICE  DO PODER JUDICIÁRIO  DE ACESSO  À JUSTIÇA;Nacional;2020;decimal;0,394
Índice de Satisfação com o Atendimento;Institucional;2015;;sem informação
Índice de Satisfação com o Atendimento;Institucional;2016;;sem informação
Índice de Satisfação com o Atendimento;Institucional;2017;;sem informação
Índice de Satisfação com o Atendimento;Institucional;2018;;sem informação
Índice de Satisfação com o Atendimento;Institucional;2019;;sem informação
Índice de Satisfação com o Atendimento;Institucional;2020;;sem informação
Índice de Satisfação Interna;Institucional;2015;;sem informação
Índice de Satisfação Interna;Institucional;2016;;sem informação
Índice de Satisfação Interna;Institucional;2017;;sem informação
Índice de Satisfação Interna;Institucional;2018;;sem informação
Índice de Satisfação Interna;Institucional;2019;;sem informação
Índice de Satisfação Interna;Institucional;2020;;sem informação
Índice de Transparência;Institucional;2015;;sem informação
Índice de Transparência;Nacional;2016;;sem informação
Índice de Transparência;Nacional;2017;;sem informação
Índice de Transparência;Nacional;2018;Percentual;68,42%
Índice de Transparência;Nacional;2019;Percentual;89,71%
Índice de Transparência;Nacional;2020;Percentual;"87,05%
"
TCExtFisc  - Taxa  de Congestionamento  das Execuções  Fiscais;Nacional;2015;;sem informação
TCExtFisc  - Taxa  de Congestionamento  das Execuções  Fiscais;Nacional;2016;Percentual;91.1%
TCExtFisc  - Taxa  de Congestionamento  das Execuções  Fiscais;Nacional;2017;Percentual;49,20%
TCExtFisc  - Taxa  de Congestionamento  das Execuções  Fiscais;Nacional;2018;Percentual;93,30%
TCExtFisc  - Taxa  de Congestionamento  das Execuções  Fiscais;Nacional;2019;Percentual;89,80%
TCExtFisc  - Taxa  de Congestionamento  das Execuções  Fiscais;Nacional;2020;Percentual;89,20%
TCL - Taxa  de Congestionamento  Líquida , Exceto Execusões Fiscais.;Nacional;2015;;sem informação
TCL - Taxa  de Congestionamento  Líquida , Exceto Execusões Fiscais.;Nacional;2016;Percentual;78,20%
TCL - Taxa  de Congestionamento  Líquida , Exceto Execusões Fiscais.;Nacional;2017;Percentual;76,50%
TCL - Taxa  de Congestionamento  Líquida , Exceto Execusões Fiscais.;Nacional;2018;Percentual;75,10%
TCL - Taxa  de Congestionamento  Líquida , Exceto Execusões Fiscais.;Nacional;2019;Percentual;74,60%
TCL - Taxa  de Congestionamento  Líquida , Exceto Execusões Fiscais.;Nacional;2020;Percentual;75,80%
IAD - Índice  de Atendimento  à Demanda;Nacional;2015;;sem informação
IAD - Índice  de Atendimento  à Demanda;Nacional;2016;Percentual;89,30%
IAD - Índice  de Atendimento  à Demanda;Nacional;2017;Percentual;109%
IAD - Índice  de Atendimento  à Demanda;Nacional;2018;Percentual;96,40%
IAD - Índice  de Atendimento  à Demanda;Nacional;2019;Percentual;85,90%
IAD - Índice  de Atendimento  à Demanda;Nacional;2020;Percentual;93,77%
Tempo de Tramitação dos Processos Pendentes Líquidos;Nacional;2015;;sem informação
Tempo de Tramitação dos Processos Pendentes Líquidos;Nacional;2016;;sem informação
Tempo de Tramitação dos Processos Pendentes Líquidos;Nacional;2017;;sem informação
Tempo de Tramitação dos Processos Pendentes Líquidos;Nacional;2018;;sem informação
Tempo de Tramitação dos Processos Pendentes Líquidos;Nacional;2019;;sem informação
Tempo de Tramitação dos Processos Pendentes Líquidos;Nacional;2020;;sem informação
"IPM - Índice de Produtividade dos Magistrados realizado
"; Institucional;2015;;sem informação
"IPM - Índice de Produtividade dos Magistrados realizado
"; Institucional;2016;decimal;929,3
"IPM - Índice de Produtividade dos Magistrados realizado
"; Institucional;2017;decimal;955,7
"IPM - Índice de Produtividade dos Magistrados realizado
"; Institucional;2018;decimal;917,2
"IPM - Índice de Produtividade dos Magistrados realizado
"; Institucional;2019;decimal;971,4
"IPM - Índice de Produtividade dos Magistrados realizado
"; Institucional;2020;decimal;849,8
 IPS-Jud - Índice de Produtividade dos Servidores da área Judiciária; Institucional;2015;;sem informação
 IPS-Jud - Índice de Produtividade dos Servidores da área Judiciária; Institucional;2016;decimal;68,24
 IPS-Jud - Índice de Produtividade dos Servidores da área Judiciária; Institucional;2017;decimal;100,19
 IPS-Jud - Índice de Produtividade dos Servidores da área Judiciária; Institucional;2018;decimal;93,07
 IPS-Jud - Índice de Produtividade dos Servidores da área Judiciária; Institucional;2019;decimal;96,93
 IPS-Jud - Índice de Produtividade dos Servidores da área Judiciária; Institucional;2020;decimal;85,31
Índice de Produtividade Comparada da Justiça - IPC-Jus; Institucional;2015;Percentual;45%
Índice de Produtividade Comparada da Justiça - IPC-Jus; Institucional;2016;Percentual;46%
Índice de Produtividade Comparada da Justiça - IPC-Jus; Institucional;2017;Percentual;42%
Índice de Produtividade Comparada da Justiça - IPC-Jus; Institucional;2018;Percentual;41%
Índice de Produtividade Comparada da Justiça - IPC-Jus; Institucional;2019;Percentual;49%
Índice de Produtividade Comparada da Justiça - IPC-Jus; Institucional;2020;Percentual;49%
"Índice de Desempenho no Prêmio CNJ de Qualidade: Eixo
Produtividade"; Institucional;2015;;sem informação
